Topic,Term,Weight
0,http,0.055230346
0,net,0.025698708
0,window,0.013913211
0,windowsserv,0.012351366
0,azur,0.010610751
0,microsoft,0.010080972
0,powershel,0.009692356
0,develop,0.009332345
0,onedr,0.009109259
0,sqlserver,0.00901289
1,http,0.031135388
1,edg,0.009721065
1,new,0.008907612
1,windowsserv,0.008862041
1,team,0.008214899
1,amp,0.0073230313
1,window,0.007155152
1,like,0.006557643
1,contain,0.005470224
1,data,0.0053793755
2,http,0.03957578
2,window,0.013255089
2,team,0.0090130735
2,launch,0.008580507
2,open,0.008366229
2,weather,0.007345404
2,visualstudio,0.007020121
2,hour,0.0069716815
2,apart,0.0067673437
2,us,0.0067176134
3,http,0.051820252
3,bing,0.02011097
3,powershel,0.01165596
3,microsoft,0.011425441
3,net,0.0074650287
3,edg,0.007344657
3,amp,0.0060925656
3,like,0.006061431
3,offic,0.0055395197
3,com,0.0054886728
4,roadmap,0.031132882
4,project,0.017880734
4,http,0.014930199
4,rita,0.009733126
4,tyna,0.009733076
4,drive,0.009465152
4,the,0.008724429
4,search,0.008448962
4,base,0.008348399
4,data,0.008187692
5,http,0.04948303
5,edg,0.014232376
5,the,0.009906577
5,dai,0.0069758627
5,xbox,0.0065940805
5,internet,0.005895387
5,session,0.0058187256
5,window,0.0057969764
5,game,0.005652202
5,onedr,0.005439101
6,http,0.03809667
6,appear,0.016574781
6,win,0.010754698
6,championship,0.009273972
6,final,0.008938787
6,seri,0.008778228
6,heat,0.008758882
6,itâ€™,0.008249338
6,app,0.0080624875
6,knick,0.0079153385
7,http,0.046573624
7,sql,0.019670181
7,server,0.01868713
7,azur,0.015859721
7,tensorflow,0.012341691
7,cours,0.012156484
7,learn,0.0119743785
7,windowsserv,0.0114101665
7,analyt,0.009928574
7,datasci,0.008507228
8,http,0.059143335
8,sqlserver,0.01969321
8,powershel,0.014900457
8,work,0.012545776
8,improv,0.0122468565
8,chang,0.011363198
8,final,0.011138451
8,break,0.011057728
8,month,0.010311344
8,hard,0.0102509605
